;all_texts;ats;texts;hashtags
0;@AaronMinogueUSA @Vegicano @FollowYourHeart A+ with the GIF choice!;['aaronminogueusa', 'vegicano', 'followyourheart'];['a', 'with', 'the', 'gif', 'choice'];[]
1;@BellaMarieCt1 Check out our store-locator to find a store near you: https://t.co/L7ojjdSaJF;['bellamariect1'];['check', 'out', 'our', 'store', 'to', 'find', 'a', 'store', 'near', 'you', 'https'];[]
2;@BoomChickaWow1 Thank you for you patience and support as we work to ramp up production!;['boomchickawow1'];['thank', 'you', 'for', 'you', 'patience', 'and', 'support', 'as', 'we', 'work', 'to', 'ramp', 'up', 'production'];[]
3;@Captain_Quench @AWCanada We are working on expanding internationally and will be in Canadian grocery stores as soon as we can!;['captain_quench', 'awcanada'];['we', 'are', 'working', 'on', 'expanding', 'internationally', 'and', 'will', 'be', 'in', 'canadian', 'grocery', 'stores', 'as', 'soon', 'as', 'we', 'can'];[]
4;@paulasulllivan @WholeFoods Hey Paula! We are currently experiencing an all-time high in demand.  Our new manufacturing facility will more than triple production and help keep shelves stocked.  We appreciate your patience and support as we work through these kinks!;['paulasulllivan', 'wholefoods'];['hey', 'paula', 'we', 'are', 'currently', 'experiencing', 'an', 'all', 'high', 'in', 'demand', 'our', 'new', 'manufacturing', 'facility', 'will', 'more', 'than', 'triple', 'production', 'and', 'help', 'keep', 'shelves', 'stocked', 'we', 'appreciate', 'your', 'patience', 'and', 'support', 'as', 'we', 'work', 'through', 'these', 'kinks'];[]
5;@chefk Thanks for reaching out.  Please email us at ethanandteam@beyondmeat.com so we can better help you with sourcing our products through wholesale.;['chefk', 'beyondmeat'];['thanks', 'for', 'reaching', 'out', 'please', 'email', 'us', 'at', 'so', 'we', 'can', 'better', 'help', 'you', 'with', 'sourcing', 'our', 'products', 'through', 'wholesale'];[]
6;@JohnRobertsFun Hi John! We've definitely noticed that they're flying off the shelves a lot faster than we'd anticipated. We're doing everything we can to ramp up production and make sure they'll be in stock more consistently. We hope you and Linda can bear with us while we work out the kinks💛;['johnrobertsfun'];['hi', 'john', 'we', 'definitely', 'noticed', 'that', 'they', 'flying', 'off', 'the', 'shelves', 'a', 'lot', 'faster', 'than', 'we', 'anticipated', 'we', 'doing', 'everything', 'we', 'can', 'to', 'ramp', 'up', 'production', 'and', 'make', 'sure', 'they', 'be', 'in', 'stock', 'more', 'consistently', 'we', 'hope', 'you', 'and', 'linda', 'can', 'bear', 'with', 'us', 'while', 'we', 'work', 'out', 'the', 'kinks'];[]
7;@DrGetaheadspace @goveganscotland @veganburgers The Beyond Burger is currently on the menu at both The Cafe at Tesco Extra's Bar Hill location and is an August special at Honest Burgers at their King's Cross location!;['drgetaheadspace', 'goveganscotland', 'veganburgers'];['the', 'beyond', 'burger', 'is', 'currently', 'on', 'the', 'menu', 'at', 'both', 'the', 'cafe', 'at', 'tesco', 'extra', 'bar', 'hill', 'location', 'and', 'is', 'an', 'august', 'special', 'at', 'honest', 'burgers', 'at', 'their', 'king', 'cross', 'location'];[]
8;@DrGetaheadspace @honestburgers Hey Dr.! The Beyond Burger is also at Honest Burgers King's Cross location. Due to such high demand, we are taking steps to make sure that when we do launch in more places, we will be sure to have enough product to keep the shelves full. More updates soon! 🇬🇧;['drgetaheadspace', 'honestburgers'];['hey', 'dr', 'the', 'beyond', 'burger', 'is', 'also', 'at', 'honest', 'burgers', 'king', 'cross', 'location', 'due', 'to', 'such', 'high', 'demand', 'we', 'are', 'taking', 'steps', 'to', 'make', 'sure', 'that', 'when', 'we', 'do', 'launch', 'in', 'more', 'places', 'we', 'will', 'be', 'sure', 'to', 'have', 'enough', 'product', 'to', 'keep', 'the', 'shelves', 'full', 'more', 'updates', 'soon'];[]
9;@nygamecock *Us running to the grocery store* https://t.co/51p8RJFgwt;['nygamecock'];['us', 'running', 'to', 'the', 'grocery', 'store', 'https'];[]
10;@andy_willmer Hi Andy! The Beyond Burger is currently on the menu at both The Cafe at Tesco Extra's Bar Hill location and is an August special at Honest Burgers at their King's Cross location! We will be in Tesco Supermarkets later this year, so stay tuned for more exciting updates!;['andy_willmer'];['hi', 'andy', 'the', 'beyond', 'burger', 'is', 'currently', 'on', 'the', 'menu', 'at', 'both', 'the', 'cafe', 'at', 'tesco', 'extra', 'bar', 'hill', 'location', 'and', 'is', 'an', 'august', 'special', 'at', 'honest', 'burgers', 'at', 'their', 'king', 'cross', 'location', 'we', 'will', 'be', 'in', 'tesco', 'supermarkets', 'later', 'this', 'year', 'so', 'stay', 'tuned', 'for', 'more', 'exciting', 'updates'];[]
11;@Marqel_whoelse We're dreaming of you too.;['marqel_whoelse'];['we', 'dreaming', 'of', 'you', 'too'];[]
12;The #FutureofProtein is not going anywhere. https://t.co/U6OJQ0pyZd;[];['the', 'futureofprotein', 'is', 'not', 'going', 'anywhere', 'https'];['futureofprotein']
13;@aijalonsays 🍔🌱😍;['aijalonsays'];[];[]
14;#FridayVibes https://t.co/NywKOQSzMg;[];['fridayvibes', 'https'];['fridayvibes']
15;Sales Show That More People Are Eating The #FutureOfProtein —And Not Just Vegetarians https://t.co/0snDGMmP3J;[];['sales', 'show', 'that', 'more', 'people', 'are', 'eating', 'the', 'futureofprotein', 'and', 'not', 'just', 'vegetarians', 'https'];['futureofprotein']
16;"Can't think of what to cook tonight!? We have all the answers in our NEW recipe section!!  
Check it out here: https://t.co/ARJuJuFLSH https://t.co/oRjF6bX3OI";[];['can', 'think', 'of', 'what', 'to', 'cook', 'tonight', 'we', 'have', 'all', 'the', 'answers', 'in', 'our', 'new', 'recipe', 'section', 'check', 'it', 'out', 'here', 'https', 'https'];[]
17;@RolandelliDsign Hey Tracey, thanks for reaching out. Our products are indeed gluten free! We appreciate your suggestion as we are always looking to better our products.;['rolandellidsign'];['hey', 'tracey', 'thanks', 'for', 'reaching', 'out', 'our', 'products', 'are', 'indeed', 'gluten', 'free', 'we', 'appreciate', 'your', 'suggestion', 'as', 'we', 'are', 'always', 'looking', 'to', 'better', 'our', 'products'];[]
18;"""Plant-based consumption is up 300% over just the last year... 
causing restaurants to create more plant-based dishes."" #mondaymotivation #cantstopwontstop https://t.co/p0Vyke0ZnD";[];['plant', 'consumption', 'is', 'up', '300', 'over', 'just', 'the', 'last', 'year', 'causing', 'restaurants', 'to', 'create', 'more', 'plant', 'dishes', 'mondaymotivation', 'cantstopwontstop', 'https'];['mondaymotivation', 'cantstopwontstop']
19;@Noonies_Place Sorry for the frustration. We're doing everything we can to ramp up production. We can assure you we're taking the necessary steps to make sure we have the ability to make enough products to keep shelves full! More updates coming.;['noonies_place'];['sorry', 'for', 'the', 'frustration', 'we', 'doing', 'everything', 'we', 'can', 'to', 'ramp', 'up', 'production', 'we', 'can', 'assure', 'you', 'we', 'taking', 'the', 'necessary', 'steps', 'to', 'make', 'sure', 'we', 'have', 'the', 'ability', 'to', 'make', 'enough', 'products', 'to', 'keep', 'shelves', 'full', 'more', 'updates', 'coming'];[]
20;@SSilver29 We love you too 😍;['ssilver29'];['we', 'love', 'you', 'too'];[]
21;@PeaceDemons This is too cute 😍;['peacedemons'];['this', 'is', 'too', 'cute'];[]
22;@_Oya1982 @grahamcoxon @honestburgers Our #BeyondBurger made from pea-protein! You can see a full list of ingredients here: https://t.co/8N7xUQVim6;['_oya1982', 'grahamcoxon', 'honestburgers'];['our', 'beyondburger', 'made', 'from', 'pea', 'you', 'can', 'see', 'a', 'full', 'list', 'of', 'ingredients', 'here', 'https'];['beyondburger']
23;"@useless45 The Beyond Burger is currently at The Cafe at Tesco Extra's Bar Hill location &amp; is an Aug. special at Honest Burgers at the King's Cross location. We are taking steps to make sure that when we do launch in more places, there will be enough product to keep the shelves full.";['useless45'];['the', 'beyond', 'burger', 'is', 'currently', 'at', 'the', 'cafe', 'at', 'tesco', 'extra', 'bar', 'hill', 'location', 'amp', 'is', 'an', 'aug', 'special', 'at', 'honest', 'burgers', 'at', 'the', 'king', 'cross', 'location', 'we', 'are', 'taking', 'steps', 'to', 'make', 'sure', 'that', 'when', 'we', 'do', 'launch', 'in', 'more', 'places', 'there', 'will', 'be', 'enough', 'product', 'to', 'keep', 'the', 'shelves', 'full'];[]
24;@grahamcoxon @honestburgers We are so glad you got a chance to try our #BeyondBurger Graham 😃;['grahamcoxon', 'honestburgers'];['we', 'are', 'so', 'glad', 'you', 'got', 'a', 'chance', 'to', 'try', 'our', 'beyondburger', 'graham'];['beyondburger']
25;@AngelaMMBaumann We can't wait for you to cook these recipes! We are working as hard as we can to ramp up production. Thank you for your patience and support.;['angelammbaumann'];['we', 'can', 'wait', 'for', 'you', 'to', 'cook', 'these', 'recipes', 'we', 'are', 'working', 'as', 'hard', 'as', 'we', 'can', 'to', 'ramp', 'up', 'production', 'thank', 'you', 'for', 'your', 'patience', 'and', 'support'];[]
26;@llaH_leinaD We are so glad  you enjoyed our #BeyondBurger! The essence of our #FutureOfProtein vision is to create plant-based meats that let people enjoy--and feel good about eating--the traditional dishes they love.;['llah_leinad'];['we', 'are', 'so', 'glad', 'you', 'enjoyed', 'our', 'beyondburger', 'the', 'essence', 'of', 'our', 'futureofprotein', 'vision', 'is', 'to', 'create', 'plant', 'meats', 'that', 'let', 'people', 'enjoy', 'feel', 'good', 'about', 'eating', 'traditional', 'dishes', 'they', 'love'];['beyondburger', 'futureofprotein']
27;@vegancrazycook Looks delicious 😋;['vegancrazycook'];['looks', 'delicious'];[]
28;@BenAtDisney Hey Ben! Thank you for your support and patience as we experience this all-time high in demand. We are taking the necessary steps to make sure that we have the ability to make enough product to keep all retail shelves full!;['benatdisney'];['hey', 'ben', 'thank', 'you', 'for', 'your', 'support', 'and', 'patience', 'as', 'we', 'experience', 'this', 'all', 'high', 'in', 'demand', 'we', 'are', 'taking', 'the', 'necessary', 'steps', 'to', 'make', 'sure', 'that', 'we', 'have', 'the', 'ability', 'to', 'make', 'enough', 'product', 'to', 'keep', 'all', 'retail', 'shelves', 'full'];[]
29;@TheJBaker81 @BoomChickaWow1 Hey Jason, here is a link to our store locator which will help you find retailers near you! https://t.co/DpCtErzqfZ;['thejbaker81', 'boomchickawow1'];['hey', 'jason', 'here', 'is', 'a', 'link', 'to', 'our', 'store', 'locator', 'which', 'will', 'help', 'you', 'find', 'retailers', 'near', 'you', 'https'];[]
30;@dogtorfreud @WholeFoods Sorry to hear you're having trouble finding #BeyondSausage. We've noticed that they're flying off the shelves a lot faster than we'd anticipated. We're doing everything we can to ramp up production and make sure they'll be in stock more consistently. Thank you for your patience!;['dogtorfreud', 'wholefoods'];['sorry', 'to', 'hear', 'you', 'having', 'trouble', 'finding', 'beyondsausage', 'we', 'noticed', 'that', 'they', 'flying', 'off', 'the', 'shelves', 'a', 'lot', 'faster', 'than', 'we', 'anticipated', 'we', 'doing', 'everything', 'we', 'can', 'to', 'ramp', 'up', 'production', 'and', 'make', 'sure', 'they', 'be', 'in', 'stock', 'more', 'consistently', 'thank', 'you', 'for', 'your', 'patience'];['beyondsausage']
31;"Cook up this Southwestern Beyond Burger by @WhatsGabyCookin and thank us later 😋 

https://t.co/FbngIx2WLQ";['whatsgabycookin'];['cook', 'up', 'this', 'southwestern', 'beyond', 'burger', 'by', 'and', 'thank', 'us', 'later', 'https'];[]
32;"She found this in her break room freezer... #Friendshipgoals 

📸 : @Foxxily https://t.co/2SK3LTrsvf";['foxxily'];['she', 'found', 'this', 'in', 'her', 'break', 'room', 'freezer', 'friendshipgoals', 'https'];['friendshipgoals']
33;"""So rather than convincing everyone that they should think more about the climate impact of meat, Ethan decided to CREATE climate-friendly meat from plants."" 

More on climate change and our food choices below. https://t.co/jQ7zyVGh7D via @onegreenplanet";['onegreenplanet'];['so', 'rather', 'than', 'convincing', 'everyone', 'that', 'they', 'should', 'think', 'more', 'about', 'the', 'climate', 'impact', 'of', 'meat', 'ethan', 'decided', 'to', 'create', 'climate', 'meat', 'from', 'plants', 'more', 'on', 'climate', 'change', 'and', 'our', 'food', 'choices', 'below', 'https', 'via'];[]
34;@Tesco @Rwanda_saad The Beyond Burger will be launching in 350 Tesco Stores in the UK later this year. Stay tuned as we grow!;['tesco', 'rwanda_saad'];['the', 'beyond', 'burger', 'will', 'be', 'launching', 'in', '350', 'tesco', 'stores', 'in', 'the', 'uk', 'later', 'this', 'year', 'stay', 'tuned', 'as', 'we', 'grow'];[]
35;@6thMan_Miller @KyrieIrving @celtics We can't wait to see you rock it 😎;['6thman_miller', 'kyrieirving', 'celtics'];['we', 'can', 'wait', 'to', 'see', 'you', 'rock', 'it'];[]
36;"Weekend forecast: Sunny with a chance of Southwestern Beyond Burger 

Get this delicious recipe by @WhatsGabyCookin  with the link below. 

https://t.co/0L2BnOX0bS https://t.co/RTUaubsjiI";['whatsgabycookin'];['weekend', 'forecast', 'sunny', 'with', 'a', 'chance', 'of', 'southwestern', 'beyond', 'burger', 'get', 'this', 'delicious', 'recipe', 'by', 'with', 'the', 'link', 'below', 'https', 'https'];[]
37;"College football, we are ready for you! Tackle the first tailgate of the year with our Beyond the Field Burger 🏈 🍔

Which team will bring home the 🏆 this season?

Get the full recipe here ➡️ https://t.co/wKiq5fJaJ9 https://t.co/ZNWE2C5Pav";[];['college', 'football', 'we', 'are', 'ready', 'for', 'you', 'tackle', 'the', 'first', 'tailgate', 'of', 'the', 'year', 'with', 'our', 'beyond', 'the', 'field', 'burger', 'which', 'team', 'will', 'bring', 'home', 'the', 'this', 'season', 'get', 'the', 'full', 'recipe', 'here', 'https', 'https'];[]
38;"Tyson Foods is making strides to transition from a meat producer to a “protein” producer. According to their CEO, “If we can grow the meat without the animal, why wouldn’t we?”

Check out the full @business article here ➡️https://t.co/YaF1MicOq7 https://t.co/OYiTd27mHG";['business'];['tyson', 'foods', 'is', 'making', 'strides', 'to', 'transition', 'from', 'a', 'meat', 'producer', 'to', 'a', 'protein', 'producer', 'according', 'to', 'their', 'ceo', 'if', 'we', 'can', 'grow', 'the', 'meat', 'without', 'the', 'animal', 'why', 'wouldn', 'we', 'check', 'out', 'the', 'full', 'article', 'here', 'https', 'https'];[]
39;"""That's a meaty burger... I am BEYOND excited!""

@rhettandlink held a burger showdown you can't miss. Watch to see if the #BeyondBurger took home the championship... Spoiler alert, we do! 😉 https://t.co/H3AWuUVF4B";['rhettandlink'];['that', 'a', 'meaty', 'burger', 'i', 'am', 'beyond', 'excited', 'held', 'a', 'burger', 'showdown', 'you', 'can', 'miss', 'watch', 'to', 'see', 'if', 'the', 'beyondburger', 'took', 'home', 'the', 'championship', 'spoiler', 'alert', 'we', 'do', 'https'];['beyondburger']
40;@quietlycurious Great question. In an effort to keep up with consumer demand, we've decided to discontinue the Beast Burger to enable us to produce more popular Beyond Meat products. We're sorry to share this news but we hope you'll give our other products a try (https://t.co/SB9TaMhadB).;['quietlycurious'];['great', 'question', 'in', 'an', 'effort', 'to', 'keep', 'up', 'with', 'consumer', 'demand', 'we', 'decided', 'to', 'discontinue', 'the', 'beast', 'burger', 'to', 'enable', 'us', 'to', 'produce', 'more', 'popular', 'beyond', 'meat', 'products', 'we', 'sorry', 'to', 'share', 'this', 'news', 'but', 'we', 'hope', 'you', 'give', 'our', 'other', 'products', 'a', 'try', 'https'];[]
41;@manfuryxxx @TheVanessaBlake 😍 🍔;['manfuryxxx', 'thevanessablake'];[];[]
42;@Eboogie1176 Thank you for your support! So glad you enjoy our products ❤️;['eboogie1176'];['thank', 'you', 'for', 'your', 'support', 'so', 'glad', 'you', 'enjoy', 'our', 'products'];[]
43;@megamandude455 @rhettandlink Our products are in over 25,000 retail stores nationwide! Check out our store locator to find the closest retailer near you: https://t.co/DpCtErhORp;['megamandude455', 'rhettandlink'];['our', 'products', 'are', 'in', 'over', '25', 'retail', 'stores', 'nationwide', 'check', 'out', 'our', 'store', 'locator', 'to', 'find', 'the', 'closest', 'retailer', 'near', 'you', 'https'];[]
44;@Emilysablone @adamheatlie @rhettandlink Summer grilling season shot demand for our products through the roof and we're working hard to ramp up our production so we can feed all our hungry fans. We're in the final steps of finishing a new production facility and it will more than triple our current production capacity!;['emilysablone', 'adamheatlie', 'rhettandlink'];['summer', 'grilling', 'season', 'shot', 'demand', 'for', 'our', 'products', 'through', 'the', 'roof', 'and', 'we', 'working', 'hard', 'to', 'ramp', 'up', 'our', 'production', 'so', 'we', 'can', 'feed', 'all', 'our', 'hungry', 'fans', 'we', 'in', 'the', 'final', 'steps', 'of', 'finishing', 'a', 'new', 'production', 'facility', 'and', 'it', 'will', 'more', 'than', 'triple', 'our', 'current', 'production', 'capacity'];[]
45;@stephenpbrown @adamheatlie @rhettandlink Great question. We've seeing a much higher-than-expected demand for The Beyond Burger this summer season. We are taking the necessary steps to make sure that we have the ability to make enough product to keep all retail shelves full. Keep an eye out for future updates!;['stephenpbrown', 'adamheatlie', 'rhettandlink'];['great', 'question', 'we', 'seeing', 'a', 'much', 'higher', 'demand', 'for', 'the', 'beyond', 'burger', 'this', 'summer', 'season', 'we', 'are', 'taking', 'the', 'necessary', 'steps', 'to', 'make', 'sure', 'that', 'we', 'have', 'the', 'ability', 'to', 'make', 'enough', 'product', 'to', 'keep', 'all', 'retail', 'shelves', 'full', 'keep', 'an', 'eye', 'out', 'for', 'future', 'updates'];[]
46;@Vegicano @FollowYourHeart Looks delicious 😋;['vegicano', 'followyourheart'];['looks', 'delicious'];[]
47;❤️ https://t.co/jexGwPaVFi;[];['https'];[]
48;#LDW countdown is on! https://t.co/YWBDuOvr22;[];['ldw', 'countdown', 'is', 'on', 'https'];['ldw']
49;@jordynzubyk Hi Jordyn, thanks for bringing this to our attention. Can you please email us at ethanandteam@beyondmeat.com so we can answer any further questions and make things right?;['jordynzubyk', 'beyondmeat'];['hi', 'jordyn', 'thanks', 'for', 'bringing', 'this', 'to', 'our', 'attention', 'can', 'you', 'please', 'email', 'us', 'at', 'so', 'we', 'can', 'answer', 'any', 'further', 'questions', 'and', 'make', 'things', 'right'];[]
50;@rjvcourt 🤣🤣🤣;['rjvcourt'];[];[]
51;WOW. https://t.co/WnYMKzp5SQ;[];['wow', 'https'];[]
52;"How Beyond Meat Is Turning the 'Meat' Aisle into the 'Protein' Aisle. 

More on how the meat isle is changing below. 
https://t.co/nqdZu7KvTV";[];['how', 'beyond', 'meat', 'is', 'turning', 'the', 'meat', 'aisle', 'into', 'the', 'protein', 'aisle', 'more', 'on', 'how', 'the', 'meat', 'isle', 'is', 'changing', 'below', 'https'];[]
53;"""Clean protein – like its cousin clean energy – is the way forward if we want a sustainable future."" 

More from @onegreenplanet on how The #FutureofProtein can help alleviate climate change ⬇️

https://t.co/S4BwOQdtzj";['onegreenplanet'];['clean', 'protein', 'like', 'its', 'cousin', 'clean', 'energy', 'is', 'the', 'way', 'forward', 'if', 'we', 'want', 'a', 'sustainable', 'future', 'more', 'from', 'on', 'how', 'the', 'futureofprotein', 'can', 'help', 'alleviate', 'climate', 'change', 'https'];['futureofprotein']
54;"The only thing keeping their jaws from dropping was having to chew. 🍔  Check out how The  #BeyondBurger performed against its competitors in the @rhettandlink burger showdown. 

https://t.co/yfs59EWZeF";['rhettandlink'];['the', 'only', 'thing', 'keeping', 'their', 'jaws', 'from', 'dropping', 'was', 'having', 'to', 'chew', 'check', 'out', 'how', 'the', 'beyondburger', 'performed', 'against', 'its', 'competitors', 'in', 'the', 'burger', 'showdown', 'https'];['beyondburger']
55;Today's Plans: toast these buns 😎 Happy #LaborDay https://t.co/R455hrHSmT;[];['today', 'plans', 'toast', 'these', 'buns', 'happy', 'laborday', 'https'];['laborday']
56;@ninakatz 😍 😍 😍;['ninakatz'];[];[]
57;@SisterofGibbs So glad you enjoy The #BeyondBurger! Can't wait for you to have many more 😋;['sisterofgibbs'];['so', 'glad', 'you', 'enjoy', 'the', 'beyondburger', 'can', 'wait', 'for', 'you', 'to', 'have', 'many', 'more'];['beyondburger']
58;@wishingspoon @Tesco Hey Vedla, We're seeing much higher-than-expected demand for the Beyond Burger in the US. We are taking steps to make sure that when we do launch in the UK, we will be sure to have enough product to keep the shelves full. More updates soon!;['wishingspoon', 'tesco'];['hey', 'vedla', 'we', 'seeing', 'much', 'higher', 'demand', 'for', 'the', 'beyond', 'burger', 'in', 'the', 'us', 'we', 'are', 'taking', 'steps', 'to', 'make', 'sure', 'that', 'when', 'we', 'do', 'launch', 'in', 'the', 'uk', 'we', 'will', 'be', 'sure', 'to', 'have', 'enough', 'product', 'to', 'keep', 'the', 'shelves', 'full', 'more', 'updates', 'soon'];[]
59;@turb0d0nk3y We're seeing much higher-than-expected demand for the Beyond Burger in the US. We are taking steps to make sure that when we do launch in the UK, we will be sure to have enough product to keep the shelves full. We should be launching later this year. Thank you for your patience.;['turb0d0nk3y'];['we', 'seeing', 'much', 'higher', 'demand', 'for', 'the', 'beyond', 'burger', 'in', 'the', 'us', 'we', 'are', 'taking', 'steps', 'to', 'make', 'sure', 'that', 'when', 'we', 'do', 'launch', 'in', 'the', 'uk', 'we', 'will', 'be', 'sure', 'to', 'have', 'enough', 'product', 'to', 'keep', 'the', 'shelves', 'full', 'we', 'should', 'be', 'launching', 'later', 'this', 'year', 'thank', 'you', 'for', 'your', 'patience'];[]
60;@InferreraGolden @WholeFoods Thanks for reaching out.  #BeyondSausage is sold at @WholeFoods, however, we are experiencing an all-time high in demand.  We are ramping up production to keep up with our hungry fans.  We hope you can bear with us as we start to see the effects of our increased production.;['inferreragolden', 'wholefoods', 'wholefoods'];['thanks', 'for', 'reaching', 'out', 'beyondsausage', 'is', 'sold', 'at', 'however', 'we', 'are', 'experiencing', 'an', 'all', 'high', 'in', 'demand', 'we', 'are', 'ramping', 'up', 'production', 'to', 'keep', 'up', 'with', 'our', 'hungry', 'fans', 'we', 'hope', 'you', 'can', 'bear', 'with', 'us', 'as', 'we', 'start', 'to', 'see', 'the', 'effects', 'of', 'our', 'increased', 'production'];['beyondsausage']
61;@Gorf44 Hey James, you can most definitely crumble The #BeyondBurger to make tacos.  We can't wait to see what you create!;['gorf44'];['hey', 'james', 'you', 'can', 'most', 'definitely', 'crumble', 'the', 'beyondburger', 'to', 'make', 'tacos', 'we', 'can', 'wait', 'to', 'see', 'what', 'you', 'create'];['beyondburger']
62;@metallovingcat Thanks for letting us know. We're sorry for the inconvenience but we hope that by placing The #BeyondBurger in the meat section of the grocery store, we can help more people on their journey to eating more plant-based.;['metallovingcat'];['thanks', 'for', 'letting', 'us', 'know', 'we', 'sorry', 'for', 'the', 'inconvenience', 'but', 'we', 'hope', 'that', 'by', 'placing', 'the', 'beyondburger', 'in', 'the', 'meat', 'section', 'of', 'the', 'grocery', 'store', 'we', 'can', 'help', 'more', 'people', 'on', 'their', 'journey', 'to', 'eating', 'more', 'plant'];['beyondburger']
63;@ccoleman Haha no need for rioting! We are ramping up production as quickly as possible to keep up with our hungry fans.;['ccoleman'];['haha', 'no', 'need', 'for', 'rioting', 'we', 'are', 'ramping', 'up', 'production', 'as', 'quickly', 'as', 'possible', 'to', 'keep', 'up', 'with', 'our', 'hungry', 'fans'];[]
64;@jaymee_danielle Looks delicious 😍;['jaymee_danielle'];['looks', 'delicious'];[]
65;@Butterfly329 @WholeFoods We're so glad you were able to get your hands on some #BeyondSausage. We are working on ramping up production make these more easily available for our hungry fans!;['butterfly329', 'wholefoods'];['we', 'so', 'glad', 'you', 'were', 'able', 'to', 'get', 'your', 'hands', 'on', 'some', 'beyondsausage', 'we', 'are', 'working', 'on', 'ramping', 'up', 'production', 'make', 'these', 'more', 'easily', 'available', 'for', 'our', 'hungry', 'fans'];['beyondsausage']
66;@PrincessRiccia The #BeyondBurger is currently sold at @AWCanada locations nationwide. We will be in Canadian grocery stores as soon as we can!;['princessriccia', 'awcanada'];['the', 'beyondburger', 'is', 'currently', 'sold', 'at', 'locations', 'nationwide', 'we', 'will', 'be', 'in', 'canadian', 'grocery', 'stores', 'as', 'soon', 'as', 'we', 'can'];['beyondburger']
67;"How Beyond Meat is turning the 'meat' aisle into the 'protein' aisle.

More about this revolutionary grocery aisle transformation below ⬇️.

https://t.co/nqdZu7sV2n";[];['how', 'beyond', 'meat', 'is', 'turning', 'the', 'meat', 'aisle', 'into', 'the', 'protein', 'aisle', 'more', 'about', 'this', 'revolutionary', 'grocery', 'aisle', 'transformation', 'below', 'https'];[]
68;@missgelly83 Sounds like a perfect Labor Day!;['missgelly83'];['sounds', 'like', 'a', 'perfect', 'labor', 'day'];[]
69;@njburgart Looks like a BBQ we want an invite to 😋;['njburgart'];['looks', 'like', 'a', 'bbq', 'we', 'want', 'an', 'invite', 'to'];[]
70;@BluesyThoughts 😍 😍 😍;['bluesythoughts'];[];[]
71;@Vegicano @FollowYourHeart Crispy curly fries on our #BeyondSausage ... now we're drooling!;['vegicano', 'followyourheart'];['crispy', 'curly', 'fries', 'on', 'our', 'beyondsausage', 'now', 'we', 'drooling'];['beyondsausage']
72;@erikleenxcmb You're amazing 😏;['erikleenxcmb'];['you', 'amazing'];[]
73;@Zainab73 @MiyokosKitchen We are not shocked that there weren't any leftovers! It looks delicious 😋;['zainab73', 'miyokoskitchen'];['we', 'are', 'not', 'shocked', 'that', 'there', 'weren', 'any', 'leftovers', 'it', 'looks', 'delicious'];[]
74;@NickHillier5 The #BeyondBurger will be launching in 350 Tesco Stores in the UK later this year. Stay tuned as we grow ❤️;['nickhillier5'];['the', 'beyondburger', 'will', 'be', 'launching', 'in', '350', 'tesco', 'stores', 'in', 'the', 'uk', 'later', 'this', 'year', 'stay', 'tuned', 'as', 'we', 'grow'];['beyondburger']
75;@TTTimmyy Thanks for reaching out! We have been experiencing an all-time high in demand this summer grilling season and are working hard to ramp up production.  You should be seeing the effects of our efforts soon.;['tttimmyy'];['thanks', 'for', 'reaching', 'out', 'we', 'have', 'been', 'experiencing', 'an', 'all', 'high', 'in', 'demand', 'this', 'summer', 'grilling', 'season', 'and', 'are', 'working', 'hard', 'to', 'ramp', 'up', 'production', 'you', 'should', 'be', 'seeing', 'the', 'effects', 'of', 'our', 'efforts', 'soon'];[]
76;@jrtokarz Our goal is to make the #futureofprotein available to as many people worldwide as we can, and we're working hard to make that happen! Stay tuned as we grow!;['jrtokarz'];['our', 'goal', 'is', 'to', 'make', 'the', 'futureofprotein', 'available', 'to', 'as', 'many', 'people', 'worldwide', 'as', 'we', 'can', 'and', 'we', 'working', 'hard', 'to', 'make', 'that', 'happen', 'stay', 'tuned', 'as', 'we', 'grow'];['futureofprotein']
77;@DannyAllenUK @Tesco The #BeyondBurger will be launching in 350 Tesco Stores in the UK later this year. Stay tuned as we grow ❤️;['dannyallenuk', 'tesco'];['the', 'beyondburger', 'will', 'be', 'launching', 'in', '350', 'tesco', 'stores', 'in', 'the', 'uk', 'later', 'this', 'year', 'stay', 'tuned', 'as', 'we', 'grow'];['beyondburger']
78;"Some people hold footballs, some people hold burgers.
Happy #NFLKickoff 🏈 
📸 : @suzannecgd @vegnoutsd @suruchiavasthi https://t.co/HBS6kETbFh";['suzannecgd', 'vegnoutsd', 'suruchiavasthi'];['some', 'people', 'hold', 'footballs', 'some', 'people', 'hold', 'burgers', 'happy', 'nflkickoff', 'https'];['nflkickoff']
79;@Adam_Gentryy @jdenwitty 😍 😋;['adam_gentryy', 'jdenwitty'];[];[]
80;@BroncoByers Thanks for reaching out! We are currently experiencing an all-time high in demand, which may result in your local store being temporarily out of stock. We can assure you we're taking the necessary steps to ramp up production and fill shelves.;['broncobyers'];['thanks', 'for', 'reaching', 'out', 'we', 'are', 'currently', 'experiencing', 'an', 'all', 'high', 'in', 'demand', 'which', 'may', 'result', 'in', 'your', 'local', 'store', 'being', 'temporarily', 'out', 'of', 'stock', 'we', 'can', 'assure', 'you', 'we', 'taking', 'the', 'necessary', 'steps', 'to', 'ramp', 'up', 'production', 'and', 'fill', 'shelves'];[]
