;full_text;created_at;retweet_count;favorite_count
1999;@AaronMinogueUSA @Vegicano @FollowYourHeart A+ with the GIF choice!;Fri Aug 17 00:40:22 +0000 2018;0;1
1998;@BellaMarieCt1 Check out our store-locator to find a store near you: https://t.co/L7ojjdSaJF;Fri Aug 17 00:45:06 +0000 2018;0;1
1997;@BoomChickaWow1 Thank you for you patience and support as we work to ramp up production!;Fri Aug 17 00:45:57 +0000 2018;0;1
1996;@Captain_Quench @AWCanada We are working on expanding internationally and will be in Canadian grocery stores as soon as we can!;Fri Aug 17 00:46:36 +0000 2018;0;1
1995;@paulasulllivan @WholeFoods Hey Paula! We are currently experiencing an all-time high in demand.  Our new manufacturing facility will more than triple production and help keep shelves stocked.  We appreciate your patience and support as we work through these kinks!;Fri Aug 17 00:48:11 +0000 2018;1;2
1994;@chefk Thanks for reaching out.  Please email us at ethanandteam@beyondmeat.com so we can better help you with sourcing our products through wholesale.;Fri Aug 17 00:51:12 +0000 2018;0;0
1993;@JohnRobertsFun Hi John! We've definitely noticed that they're flying off the shelves a lot faster than we'd anticipated. We're doing everything we can to ramp up production and make sure they'll be in stock more consistently. We hope you and Linda can bear with us while we work out the kinks💛;Fri Aug 17 00:57:18 +0000 2018;0;1
1992;@DrGetaheadspace @goveganscotland @veganburgers The Beyond Burger is currently on the menu at both The Cafe at Tesco Extra's Bar Hill location and is an August special at Honest Burgers at their King's Cross location!;Fri Aug 17 01:15:46 +0000 2018;0;1
1991;@DrGetaheadspace @honestburgers Hey Dr.! The Beyond Burger is also at Honest Burgers King's Cross location. Due to such high demand, we are taking steps to make sure that when we do launch in more places, we will be sure to have enough product to keep the shelves full. More updates soon! 🇬🇧;Fri Aug 17 01:17:20 +0000 2018;0;2
1990;@nygamecock *Us running to the grocery store* https://t.co/51p8RJFgwt;Fri Aug 17 17:55:09 +0000 2018;0;1
1989;@andy_willmer Hi Andy! The Beyond Burger is currently on the menu at both The Cafe at Tesco Extra's Bar Hill location and is an August special at Honest Burgers at their King's Cross location! We will be in Tesco Supermarkets later this year, so stay tuned for more exciting updates!;Fri Aug 17 17:56:50 +0000 2018;0;1
1988;@Marqel_whoelse We're dreaming of you too.;Fri Aug 17 18:29:54 +0000 2018;1;1
1987;The #FutureofProtein is not going anywhere. https://t.co/U6OJQ0pyZd;Fri Aug 17 18:57:57 +0000 2018;31;174
1986;@aijalonsays 🍔🌱😍;Fri Aug 17 21:04:21 +0000 2018;1;2
1985;#FridayVibes https://t.co/NywKOQSzMg;Sat Aug 18 00:21:56 +0000 2018;1;24
1984;Sales Show That More People Are Eating The #FutureOfProtein —And Not Just Vegetarians https://t.co/0snDGMmP3J;Sat Aug 18 18:46:00 +0000 2018;68;266
1983;"Can't think of what to cook tonight!? We have all the answers in our NEW recipe section!!  
Check it out here: https://t.co/ARJuJuFLSH https://t.co/oRjF6bX3OI";Sun Aug 19 17:13:11 +0000 2018;15;62
1982;@RolandelliDsign Hey Tracey, thanks for reaching out. Our products are indeed gluten free! We appreciate your suggestion as we are always looking to better our products.;Mon Aug 20 17:02:30 +0000 2018;0;0
1981;"""Plant-based consumption is up 300% over just the last year... 
causing restaurants to create more plant-based dishes."" #mondaymotivation #cantstopwontstop https://t.co/p0Vyke0ZnD";Mon Aug 20 19:14:00 +0000 2018;55;224
1980;@Noonies_Place Sorry for the frustration. We're doing everything we can to ramp up production. We can assure you we're taking the necessary steps to make sure we have the ability to make enough products to keep shelves full! More updates coming.;Mon Aug 20 21:54:04 +0000 2018;0;0
1979;@SSilver29 We love you too 😍;Mon Aug 20 22:33:41 +0000 2018;0;1
1978;@PeaceDemons This is too cute 😍;Mon Aug 20 22:43:31 +0000 2018;1;3
1977;@_Oya1982 @grahamcoxon @honestburgers Our #BeyondBurger made from pea-protein! You can see a full list of ingredients here: https://t.co/8N7xUQVim6;Mon Aug 20 22:45:33 +0000 2018;0;1
1976;"@useless45 The Beyond Burger is currently at The Cafe at Tesco Extra's Bar Hill location &amp; is an Aug. special at Honest Burgers at the King's Cross location. We are taking steps to make sure that when we do launch in more places, there will be enough product to keep the shelves full.";Mon Aug 20 23:53:14 +0000 2018;0;0
1975;@grahamcoxon @honestburgers We are so glad you got a chance to try our #BeyondBurger Graham 😃;Mon Aug 20 23:57:15 +0000 2018;0;1
1974;@AngelaMMBaumann We can't wait for you to cook these recipes! We are working as hard as we can to ramp up production. Thank you for your patience and support.;Tue Aug 21 00:01:57 +0000 2018;0;0
1973;@llaH_leinaD We are so glad  you enjoyed our #BeyondBurger! The essence of our #FutureOfProtein vision is to create plant-based meats that let people enjoy--and feel good about eating--the traditional dishes they love.;Tue Aug 21 00:04:38 +0000 2018;0;1
1972;@vegancrazycook Looks delicious 😋;Tue Aug 21 00:05:17 +0000 2018;0;3
1971;@BenAtDisney Hey Ben! Thank you for your support and patience as we experience this all-time high in demand. We are taking the necessary steps to make sure that we have the ability to make enough product to keep all retail shelves full!;Tue Aug 21 00:07:59 +0000 2018;0;1
1970;@TheJBaker81 @BoomChickaWow1 Hey Jason, here is a link to our store locator which will help you find retailers near you! https://t.co/DpCtErzqfZ;Tue Aug 21 00:09:57 +0000 2018;0;1
1969;@dogtorfreud @WholeFoods Sorry to hear you're having trouble finding #BeyondSausage. We've noticed that they're flying off the shelves a lot faster than we'd anticipated. We're doing everything we can to ramp up production and make sure they'll be in stock more consistently. Thank you for your patience!;Tue Aug 21 00:11:31 +0000 2018;0;0
1968;"Cook up this Southwestern Beyond Burger by @WhatsGabyCookin and thank us later 😋 

https://t.co/FbngIx2WLQ";Tue Aug 21 23:39:00 +0000 2018;6;35
1967;"She found this in her break room freezer... #Friendshipgoals 

📸 : @Foxxily https://t.co/2SK3LTrsvf";Wed Aug 22 18:53:13 +0000 2018;11;77
1966;"""So rather than convincing everyone that they should think more about the climate impact of meat, Ethan decided to CREATE climate-friendly meat from plants."" 

More on climate change and our food choices below. https://t.co/jQ7zyVGh7D via @onegreenplanet";Wed Aug 22 21:25:29 +0000 2018;20;68
1965;@Tesco @Rwanda_saad The Beyond Burger will be launching in 350 Tesco Stores in the UK later this year. Stay tuned as we grow!;Thu Aug 23 18:56:58 +0000 2018;3;8
1964;@6thMan_Miller @KyrieIrving @celtics We can't wait to see you rock it 😎;Thu Aug 23 19:19:45 +0000 2018;0;1
1963;"Weekend forecast: Sunny with a chance of Southwestern Beyond Burger 

Get this delicious recipe by @WhatsGabyCookin  with the link below. 

https://t.co/0L2BnOX0bS https://t.co/RTUaubsjiI";Fri Aug 24 00:30:06 +0000 2018;12;44
1962;"College football, we are ready for you! Tackle the first tailgate of the year with our Beyond the Field Burger 🏈 🍔

Which team will bring home the 🏆 this season?

Get the full recipe here ➡️ https://t.co/wKiq5fJaJ9 https://t.co/ZNWE2C5Pav";Sat Aug 25 00:31:55 +0000 2018;13;52
1961;"Tyson Foods is making strides to transition from a meat producer to a “protein” producer. According to their CEO, “If we can grow the meat without the animal, why wouldn’t we?”

Check out the full @business article here ➡️https://t.co/YaF1MicOq7 https://t.co/OYiTd27mHG";Mon Aug 27 18:00:17 +0000 2018;54;199
1960;"""That's a meaty burger... I am BEYOND excited!""

@rhettandlink held a burger showdown you can't miss. Watch to see if the #BeyondBurger took home the championship... Spoiler alert, we do! 😉 https://t.co/H3AWuUVF4B";Wed Aug 29 20:44:01 +0000 2018;14;124
1959;@quietlycurious Great question. In an effort to keep up with consumer demand, we've decided to discontinue the Beast Burger to enable us to produce more popular Beyond Meat products. We're sorry to share this news but we hope you'll give our other products a try (https://t.co/SB9TaMhadB).;Thu Aug 30 00:26:07 +0000 2018;0;0
1958;@manfuryxxx @TheVanessaBlake 😍 🍔;Thu Aug 30 00:26:47 +0000 2018;0;1
1957;@Eboogie1176 Thank you for your support! So glad you enjoy our products ❤️;Thu Aug 30 00:29:27 +0000 2018;0;1
1956;@megamandude455 @rhettandlink Our products are in over 25,000 retail stores nationwide! Check out our store locator to find the closest retailer near you: https://t.co/DpCtErhORp;Thu Aug 30 18:28:40 +0000 2018;0;0
1955;@Emilysablone @adamheatlie @rhettandlink Summer grilling season shot demand for our products through the roof and we're working hard to ramp up our production so we can feed all our hungry fans. We're in the final steps of finishing a new production facility and it will more than triple our current production capacity!;Thu Aug 30 18:33:43 +0000 2018;0;1
1954;@stephenpbrown @adamheatlie @rhettandlink Great question. We've seeing a much higher-than-expected demand for The Beyond Burger this summer season. We are taking the necessary steps to make sure that we have the ability to make enough product to keep all retail shelves full. Keep an eye out for future updates!;Thu Aug 30 20:48:04 +0000 2018;0;0
1953;@Vegicano @FollowYourHeart Looks delicious 😋;Thu Aug 30 20:53:02 +0000 2018;0;1
1952;❤️ https://t.co/jexGwPaVFi;Thu Aug 30 22:49:31 +0000 2018;11;161
1951;#LDW countdown is on! https://t.co/YWBDuOvr22;Fri Aug 31 00:07:00 +0000 2018;5;65
1950;@jordynzubyk Hi Jordyn, thanks for bringing this to our attention. Can you please email us at ethanandteam@beyondmeat.com so we can answer any further questions and make things right?;Fri Aug 31 17:45:04 +0000 2018;0;0
1949;@rjvcourt 🤣🤣🤣;Fri Aug 31 17:53:06 +0000 2018;0;1
1948;WOW. https://t.co/WnYMKzp5SQ;Fri Aug 31 18:10:04 +0000 2018;13;64
1947;"How Beyond Meat Is Turning the 'Meat' Aisle into the 'Protein' Aisle. 

More on how the meat isle is changing below. 
https://t.co/nqdZu7KvTV";Fri Aug 31 23:33:01 +0000 2018;55;244
1946;"""Clean protein – like its cousin clean energy – is the way forward if we want a sustainable future."" 

More from @onegreenplanet on how The #FutureofProtein can help alleviate climate change ⬇️

https://t.co/S4BwOQdtzj";Sun Sep 02 00:24:01 +0000 2018;28;90
1945;"The only thing keeping their jaws from dropping was having to chew. 🍔  Check out how The  #BeyondBurger performed against its competitors in the @rhettandlink burger showdown. 

https://t.co/yfs59EWZeF";Sun Sep 02 15:49:03 +0000 2018;14;69
1944;Today's Plans: toast these buns 😎 Happy #LaborDay https://t.co/R455hrHSmT;Mon Sep 03 17:31:18 +0000 2018;8;82
1943;@ninakatz 😍 😍 😍;Tue Sep 04 18:13:48 +0000 2018;0;0
1942;@SisterofGibbs So glad you enjoy The #BeyondBurger! Can't wait for you to have many more 😋;Tue Sep 04 18:15:41 +0000 2018;0;1
1941;@wishingspoon @Tesco Hey Vedla, We're seeing much higher-than-expected demand for the Beyond Burger in the US. We are taking steps to make sure that when we do launch in the UK, we will be sure to have enough product to keep the shelves full. More updates soon!;Tue Sep 04 18:17:35 +0000 2018;0;0
1940;@turb0d0nk3y We're seeing much higher-than-expected demand for the Beyond Burger in the US. We are taking steps to make sure that when we do launch in the UK, we will be sure to have enough product to keep the shelves full. We should be launching later this year. Thank you for your patience.;Tue Sep 04 18:41:35 +0000 2018;0;0
1939;@InferreraGolden @WholeFoods Thanks for reaching out.  #BeyondSausage is sold at @WholeFoods, however, we are experiencing an all-time high in demand.  We are ramping up production to keep up with our hungry fans.  We hope you can bear with us as we start to see the effects of our increased production.;Tue Sep 04 18:54:17 +0000 2018;0;1
1938;@Gorf44 Hey James, you can most definitely crumble The #BeyondBurger to make tacos.  We can't wait to see what you create!;Tue Sep 04 18:56:29 +0000 2018;0;1
1937;@metallovingcat Thanks for letting us know. We're sorry for the inconvenience but we hope that by placing The #BeyondBurger in the meat section of the grocery store, we can help more people on their journey to eating more plant-based.;Tue Sep 04 18:58:29 +0000 2018;0;0
1936;@ccoleman Haha no need for rioting! We are ramping up production as quickly as possible to keep up with our hungry fans.;Tue Sep 04 20:47:25 +0000 2018;0;1
1935;@jaymee_danielle Looks delicious 😍;Tue Sep 04 20:51:16 +0000 2018;0;1
1934;@Butterfly329 @WholeFoods We're so glad you were able to get your hands on some #BeyondSausage. We are working on ramping up production make these more easily available for our hungry fans!;Tue Sep 04 20:53:48 +0000 2018;0;1
1933;@PrincessRiccia The #BeyondBurger is currently sold at @AWCanada locations nationwide. We will be in Canadian grocery stores as soon as we can!;Tue Sep 04 20:56:38 +0000 2018;0;1
1932;"How Beyond Meat is turning the 'meat' aisle into the 'protein' aisle.

More about this revolutionary grocery aisle transformation below ⬇️.

https://t.co/nqdZu7sV2n";Tue Sep 04 21:37:00 +0000 2018;38;186
1931;@missgelly83 Sounds like a perfect Labor Day!;Tue Sep 04 22:12:11 +0000 2018;0;0
1930;@njburgart Looks like a BBQ we want an invite to 😋;Tue Sep 04 22:16:37 +0000 2018;0;1
1929;@BluesyThoughts 😍 😍 😍;Wed Sep 05 00:09:28 +0000 2018;0;0
1928;@Vegicano @FollowYourHeart Crispy curly fries on our #BeyondSausage ... now we're drooling!;Wed Sep 05 00:11:11 +0000 2018;0;3
1927;@erikleenxcmb You're amazing 😏;Wed Sep 05 00:25:42 +0000 2018;0;1
1926;@Zainab73 @MiyokosKitchen We are not shocked that there weren't any leftovers! It looks delicious 😋;Wed Sep 05 18:12:46 +0000 2018;0;1
1925;@NickHillier5 The #BeyondBurger will be launching in 350 Tesco Stores in the UK later this year. Stay tuned as we grow ❤️;Wed Sep 05 18:14:50 +0000 2018;0;0
1924;@TTTimmyy Thanks for reaching out! We have been experiencing an all-time high in demand this summer grilling season and are working hard to ramp up production.  You should be seeing the effects of our efforts soon.;Wed Sep 05 18:18:28 +0000 2018;0;2
1923;@jrtokarz Our goal is to make the #futureofprotein available to as many people worldwide as we can, and we're working hard to make that happen! Stay tuned as we grow!;Wed Sep 05 18:20:46 +0000 2018;0;0
1922;@DannyAllenUK @Tesco The #BeyondBurger will be launching in 350 Tesco Stores in the UK later this year. Stay tuned as we grow ❤️;Thu Sep 06 20:00:46 +0000 2018;0;1
1921;"Some people hold footballs, some people hold burgers.
Happy #NFLKickoff 🏈 
📸 : @suzannecgd @vegnoutsd @suruchiavasthi https://t.co/HBS6kETbFh";Fri Sep 07 00:28:02 +0000 2018;12;77
1920;@Adam_Gentryy @jdenwitty 😍 😋;Fri Sep 07 18:44:45 +0000 2018;0;1
1919;@BroncoByers Thanks for reaching out! We are currently experiencing an all-time high in demand, which may result in your local store being temporarily out of stock. We can assure you we're taking the necessary steps to ramp up production and fill shelves.;Fri Sep 07 18:58:05 +0000 2018;0;0
1918;@_Nataliea @GoodEggs The package has a 10 day refrigerated shelf-life once it has been thawed.  Once you've opened the package, however, they should be cooked and eaten within 2-3 days. Cooking instructions are on the back of the package. We recommend cooking the patties for 3 minutes each side.;Fri Sep 07 19:06:10 +0000 2018;0;1
1917;"@B1BA The Beyond Burger is now offered at nearly 1,000 A&amp;Ws across Canada! We will be in Canadian grocery stores as soon as we can!";Fri Sep 07 19:12:56 +0000 2018;0;0
1916;"@kiwinvan The #BeyondBurger is now offered at nearly 1,000 A&amp;Ws across Canada! We are excited to grow internationally and will be in Canadian grocery stores as soon as we can!";Fri Sep 07 19:19:17 +0000 2018;1;2
1915;@myklreinhart Hey Michael, you can look into our friends at https://t.co/ww64VUpH61 or Amazon Fresh as they're both able to accommodate online orders for Beyond Meat products ❤️🍔🌱;Fri Sep 07 19:21:50 +0000 2018;0;0
1914;"@cinnamaldehyde @sproutsfm Good news, we are continuing to manufacture two flavors of our chicken strips.  We have noticed they are flying off shelves as we experience an all-time high in demand. We can assure you we are doing everything we can to keep shelves full.  Thank you for your support &amp; patience!";Fri Sep 07 19:26:15 +0000 2018;0;1
1913;@Gertie_marie83 Thanks for reaching out! We're working hard to ramp up our production so we can feed all our hungry fans. We're in the final steps of finishing a new production facility that will more than triple our current production capacity.;Fri Sep 07 19:29:47 +0000 2018;0;0
1912;@WordMouthTruck 🙋 🙋 🙋;Fri Sep 07 19:30:54 +0000 2018;1;2
1911;@lilmuggyy Thank you for your feedback. We'd like to understand your experience a little better. Please email us at ethanandteam@beyondmeat.com;Fri Sep 07 19:32:29 +0000 2018;0;0
1910;#FridayFeeling https://t.co/XeJSgNQJ5u;Fri Sep 07 22:06:56 +0000 2018;6;56
1909;@OhLetsEat @VegNOutSD @suruchiavasthi Check out @PretzillaBuns for delicious plant-based pretzel buns!;Fri Sep 07 22:08:14 +0000 2018;0;2
1908;@wcsek @VegNOutSD @suruchiavasthi Hey Wanda!;Fri Sep 07 22:08:28 +0000 2018;0;1
1907;@CharChristof The #BeyondBurger is currently on the menu at The Cafe at Tesco Extra's Bar Hill  location. Due to such high demand, we are taking steps to make sure that when we do launch in more places, we will be sure to have enough product to keep the shelves full. More updates soon!;Fri Sep 07 22:18:02 +0000 2018;0;1
1906;@wcsek @VegNOutSD @suruchiavasthi @KingKullen We can't wait for your son to try The #BeyondBurger! Let us know what he thinks 😀;Fri Sep 07 22:20:17 +0000 2018;0;0
1905;@wcsek Our products are in over 25,000 retail stores nationwide! Check out our store locator to find the closest retailer near you: https://t.co/DpCtErzqfZ;Fri Sep 07 22:22:18 +0000 2018;0;1
1904;@ChelseyEdwards5 Love this 😍;Fri Sep 07 22:22:42 +0000 2018;0;1
1903;@lcmartin_linda @kiwinvan Thanks for reaching out.  @AWCanada has created a mailing list to notify customers when they are restocked: https://t.co/qmWB7NHaOp  Hope this helps!;Fri Sep 07 22:31:56 +0000 2018;0;0
1902;@meatymcsorley 🤣🤣🤣;Fri Sep 07 22:34:51 +0000 2018;0;30
1901;@JulieCarterHAPF @Asimovian13 So glad you enjoyed it!;Fri Sep 07 23:23:43 +0000 2018;0;0
1900;@bartupah @melanieanneee This is so great to hear! Can't wait for you to eat many more 😃;Fri Sep 07 23:26:39 +0000 2018;0;1
1899;We've never related to a dog more. #Fridayfeeling https://t.co/8RLXcm70MH;Fri Sep 07 23:32:03 +0000 2018;15;111
1898;@BenLark22233247 @lemieuxdavid Thanks for sharing. We will pass your message along to the right team. We are always looking to better our products with the help of consumer feedback.;Fri Sep 07 23:34:54 +0000 2018;0;0
1897;"@ChrisB_MrTwit @Tesco We're seeing a much higher-than-expected demand for the Beyond Burger in the US &amp; where we’ve already placed it in the UK. We're taking steps to make sure that when we do launch, we will be sure to have enough product to keep the shelves full. We should be there later this year.";Mon Sep 10 17:28:15 +0000 2018;0;0
1896;@geminig420 Thanks for reaching out! Good news, the Beyond Meat Crumbles will still be available to our hungry fans. We can't wait to see the recipes you create 😊;Mon Sep 10 18:42:17 +0000 2018;0;1
1895;@lilchilimama The love is mutual 😍;Mon Sep 10 18:42:38 +0000 2018;1;2
1894;@CS6543 The #BeyondBurger will be launching in 350 Tesco Stores in the UK later this year. Stay tuned as we grow ❤️;Mon Sep 10 18:51:42 +0000 2018;0;1
1893;@whynotgoglobal @authenticfoodco The #BeyondBurger will be launching in 350 Tesco Stores in the UK later this year. Stay tuned as we grow!;Mon Sep 10 20:14:05 +0000 2018;0;1
1892;@veganstokes Sharing is caring!;Mon Sep 10 20:14:32 +0000 2018;0;1
1891;@CEOemail Our #BeyondBurger is GMO-free, gluten-free, and soy-free 👍;Mon Sep 10 20:17:09 +0000 2018;0;0
1890;@FreeTheWeedTex So glad you enjoyed 😋;Mon Sep 10 20:17:28 +0000 2018;0;0
1889;@JennyAFoy Thanks for your support Jennifer! We can't wait for our hungry fans to start experiencing the effects of our new production facility!;Mon Sep 10 20:20:50 +0000 2018;0;1
1888;@Hawknana_ @LuLuWVU19 We are so happy to hear that Beyond Meat has been a part of your plant-based lifestyle to help keep your body feeling healthy. Thank you for sharing ❤️;Mon Sep 10 20:24:48 +0000 2018;0;1
1887;"@hunnygale We are currently experiencing an all all-time high in demand and apologize for the difficulty finding product. We can assure you that we are doing everything we can to increase production and get the Crumbles back on the shelves near you. Thank you for your patience &amp; support!";Mon Sep 10 20:31:40 +0000 2018;0;1
1886;@wafflewednesdae @WholeFoods Sorry to hear you're still having trouble finding Beyond Sausage. they're flying off the shelves a lot faster than we'd anticipated. We're doing everything we can to ramp up production and make sure they'll be in stock more consistently.;Mon Sep 10 20:33:24 +0000 2018;0;0
1885;@oliisaacs The Beyond Burger is currently on the menu at The Cafe at Tesco Extra's Bar Hill location. Due to such high demand, we are taking steps to make sure that when we do launch in more places, we will be sure to have enough product to keep the shelves full. More updates soon!;Mon Sep 10 20:35:51 +0000 2018;0;2
1884;@fionaleung The #BeyondBurger is currently on the menu at both The Cafe at Tesco Extra's Bar Hill location and will be launching in 350 Tesco Stores in the UK later this year. Stay tuned as we grow ❤️;Mon Sep 10 20:36:35 +0000 2018;0;1
1883;@kira_mn Demand is at an all-time high.  We're working hard to increase production and are in the final steps of finishing a new production facility. It will more than triple our current production capacity. We can't wait for our fans to start to see those effects!;Mon Sep 10 20:39:53 +0000 2018;0;1
1882;"""My son's getting clean protein… and no cholesterol. He's growing like crazy right now so I want him to have that protein.""

Full @bbcnews feature on why our founder and CEO, Ethan Brown, lets his son eat a burger every day ⬇️.  

https://t.co/wuP1zhihmy";Mon Sep 10 20:45:05 +0000 2018;37;160
1881;"@kdkdkd_kiran Thanks for reaching out! @AWCanada has created this link 
https://t.co/Kg3GBFShtq for fans to be added to their Beyond Meat mailing list and to be notified about product availability. Hope this helps!";Mon Sep 10 21:10:48 +0000 2018;0;0
1880;@CS6543 This is so great to hear, thank you so much for your support!;Mon Sep 10 21:14:03 +0000 2018;0;1
1879;@lilveggiez Sorry to hear you're having trouble finding Beyond Sausage. We've noticed they fly off shelves. We're doing everything we can to ramp up production and make sure they'll be in stock more consistently. We hope you can bear with us while we work out the kinks!;Mon Sep 10 21:20:39 +0000 2018;0;1
1878;"Kellogg’s executive says the #FutureOfProtein is vegan at the Good Food Conference...  #MondayMotivation 💯 

https://t.co/TbRIluY4qA";Mon Sep 10 22:10:00 +0000 2018;26;108
1877;@IISuperwomanII 😋 😍;Mon Sep 10 23:54:42 +0000 2018;0;19
1876;@DuckDuckBrick @BBCNews I'm sorry I don't have better news for you but in an effort to be able to keep up with consumer demand, we've decided to discontinue the Beast Burger to enable us to produce more popular Beyond Meat products.;Mon Sep 10 23:56:38 +0000 2018;0;1
1875;@Wipeoutt31 Sorry for the inconvenience. Demand is at an all-time high.  We're in the final steps of finishing a new production facility and it will more than triple our current production capacity. We hope you can bear with us while we start to see those effects!;Mon Sep 10 23:59:38 +0000 2018;0;0
1874;@djflore Thanks for your support! So glad you enjoy our products ❤️;Tue Sep 11 18:56:33 +0000 2018;0;0
1873;@spikeanselm 😂 😂 😂;Tue Sep 11 19:28:06 +0000 2018;0;1
1872;@prophet_sound We are so glad you enjoy the #BeyondBurger 😍;Tue Sep 11 19:28:32 +0000 2018;0;1
1871;@sebastian_blu Sorry to hear you're still having trouble finding Beyond Sausage. We've noticed that they're flying off the shelves a lot faster than we'd anticipated. We're doing everything we can to ramp up production and make sure they'll be in stock more consistently!;Wed Sep 12 00:30:54 +0000 2018;0;0
1870;@dcconcierge Love this 😂;Wed Sep 12 00:36:34 +0000 2018;0;0
1869;Another year older, another year wiser. Cheers to Ethan for leading the #futureofprotein 🎉 https://t.co/zBDpvUncd2;Wed Sep 12 20:59:50 +0000 2018;31;297
1868;@terrocracy Demand for our products through the roof. We're working hard to ramp up production to feed all our hungry fans. We're finishing a new production facility that will more than triple our current production capacity. We hope you can bear with us while we start to see those effects.;Wed Sep 12 22:41:03 +0000 2018;0;0
